epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9328,1.82742,3.46452,1.49858,1,0.07529,0.38364,0.1694,1.72917,2.95762,1.44813,0.00054845,0.00054845,0.00054845
2,45.0779,1.75262,2.41461,1.46272,0.64011,0.45206,0.50049,0.22014,1.84141,2.30263,1.6519,0.00109319,0.00109319,0.00109319
3,64.6027,1.77704,2.12519,1.49232,0.69529,0.43654,0.5437,0.25809,1.8723,2.01974,1.56064,0.00162692,0.00162692,0.00162692
4,83.906,1.77041,1.79434,1.47378,0.71884,0.5198,0.61276,0.26435,1.89248,2.30494,1.63171,0.00161749,0.00161749,0.00161749
5,103.202,1.73947,1.58064,1.45569,0.64793,0.52827,0.60115,0.29474,1.77202,1.76392,1.49855,0.00160099,0.00160099,0.00160099
6,122.567,1.72628,1.45189,1.43188,0.76046,0.60284,0.70089,0.33424,1.78695,1.32781,1.49772,0.00158448,0.00158448,0.00158448
7,141.848,1.69141,1.35986,1.41187,0.71368,0.65676,0.70753,0.33492,1.79547,1.54918,1.43031,0.00156798,0.00156798,0.00156798
8,161.142,1.66436,1.28732,1.39907,0.77094,0.63035,0.74227,0.35411,1.77162,1.33898,1.45812,0.00155148,0.00155148,0.00155148
9,180.408,1.64114,1.23209,1.38367,0.77734,0.74301,0.7792,0.37628,1.75526,1.21176,1.46445,0.00153497,0.00153497,0.00153497
10,199.689,1.65423,1.21699,1.37822,0.80665,0.62956,0.75482,0.34882,1.80766,1.37098,1.50252,0.00151847,0.00151847,0.00151847
11,218.943,1.64638,1.19426,1.37848,0.80842,0.70267,0.79098,0.40528,1.70129,1.12854,1.40123,0.00150197,0.00150197,0.00150197
12,238.273,1.60596,1.14423,1.34685,0.82748,0.7174,0.79577,0.37817,1.7177,1.36526,1.43531,0.00148546,0.00148546,0.00148546
13,257.571,1.60099,1.11336,1.37254,0.77912,0.71271,0.78976,0.39185,1.71259,1.16656,1.42561,0.00146896,0.00146896,0.00146896
14,276.917,1.60073,1.11344,1.35417,0.82804,0.72195,0.80707,0.39598,1.71672,1.12978,1.40397,0.00145246,0.00145246,0.00145246
15,296.268,1.59304,1.07935,1.34874,0.79151,0.70682,0.81499,0.40953,1.71177,1.11026,1.40318,0.00143595,0.00143595,0.00143595
16,315.59,1.56139,1.05218,1.31708,0.79832,0.73464,0.80591,0.38842,1.73723,1.15796,1.41887,0.00141945,0.00141945,0.00141945
17,334.837,1.53581,1.03161,1.32262,0.80599,0.71974,0.7989,0.40631,1.67617,1.14896,1.40111,0.00140295,0.00140295,0.00140295
18,354.124,1.51739,0.99565,1.29823,0.79999,0.74917,0.81612,0.41828,1.71176,1.09323,1.39959,0.00138644,0.00138644,0.00138644
19,373.395,1.53793,0.98631,1.30855,0.81762,0.80901,0.85737,0.42827,1.69577,1.00007,1.39517,0.00136994,0.00136994,0.00136994
20,392.661,1.52131,0.97487,1.29868,0.83665,0.72703,0.7962,0.40491,1.72751,1.14871,1.42058,0.00135344,0.00135344,0.00135344
21,412.407,1.50889,0.94225,1.28012,0.79373,0.75904,0.79393,0.39063,1.68437,1.26179,1.39551,0.00133693,0.00133693,0.00133693
22,432.176,1.48361,0.94423,1.2775,0.84939,0.74768,0.83253,0.43661,1.65187,0.96846,1.36871,0.00132043,0.00132043,0.00132043
23,452.403,1.5127,0.95362,1.29442,0.81836,0.74342,0.83589,0.44005,1.61927,0.98839,1.35382,0.00130393,0.00130393,0.00130393
24,472.071,1.46974,0.92669,1.27498,0.78915,0.79881,0.84383,0.44046,1.68793,0.96159,1.36855,0.00128742,0.00128742,0.00128742
25,492.117,1.44972,0.89108,1.25542,0.84637,0.76546,0.83677,0.4219,1.70224,0.97703,1.42183,0.00127092,0.00127092,0.00127092
26,512.111,1.47537,0.90787,1.27936,0.80958,0.79384,0.85388,0.42073,1.7292,1.00598,1.42545,0.00125442,0.00125442,0.00125442
27,532.856,1.45792,0.88905,1.26355,0.88221,0.79053,0.86597,0.45507,1.64562,0.89438,1.38993,0.00123791,0.00123791,0.00123791
28,552.583,1.44018,0.85823,1.25255,0.84164,0.77244,0.84827,0.41703,1.73283,0.9626,1.42904,0.00122141,0.00122141,0.00122141
29,571.973,1.4247,0.84767,1.24388,0.82111,0.7626,0.86517,0.44174,1.74501,0.92359,1.42357,0.00120491,0.00120491,0.00120491
